Season,Date,Time,Home,Away,Result
2023/2024,01/09/2023,17:00,LKS Lodz,Warta Poznan,A
2023/2024,01/09/2023,19:30,Ruch Chorzow,Stal Mielec,D
2023/2024,02/09/2023,14:00,Radomiak Radom,Piast Gliwice,D
2023/2024,02/09/2023,16:30,Cracovia,Korona Kielce,D
2023/2024,02/09/2023,19:00,Lech Poznan,Gornik Zabrze,D
2023/2024,03/09/2023,11:30,Slask Wroclaw,Jagiellonia,H
2023/2024,03/09/2023,14:00,Zaglebie,Pogon Szczecin,H
2023/2024,03/09/2023,16:30,Legia,Widzew Lodz,H
2023/2024,03/09/2023,19:00,Rakow,Puszcza,H
2023/2024,15/09/2023,17:00,Puszcza,Slask Wroclaw,A
2023/2024,15/09/2023,19:30,Gornik Zabrze,Ruch Chorzow,H
2023/2024,16/09/2023,14:00,Pogon Szczecin,Korona Kielce,H
2023/2024,16/09/2023,16:30,Rakow,LKS Lodz,H
2023/2024,16/09/2023,19:00,Piast Gliwice,Legia,D
2023/2024,17/09/2023,11:30,Jagiellonia,Radomiak Radom,H
2023/2024,17/09/2023,14:00,Widzew Lodz,Cracovia,H
2023/2024,17/09/2023,16:30,Warta Poznan,Lech Poznan,A
2023/2024,18/09/2023,18:00,Stal Mielec,Zaglebie,H
2023/2024,22/09/2023,17:00,Korona Kielce,Widzew Lodz,D
2023/2024,22/09/2023,19:30,LKS Lodz,Jagiellonia,D
2023/2024,23/09/2023,11:30,Radomiak Radom,Puszcza,D
2023/2024,23/09/2023,14:00,Slask Wroclaw,Piast Gliwice,H
2023/2024,23/09/2023,16:30,Cracovia,Pogon Szczecin,A
2023/2024,23/09/2023,19:00,Lech Poznan,Stal Mielec,H
2023/2024,24/09/2023,11:30,Zaglebie,Warta Poznan,H
2023/2024,24/09/2023,14:00,Ruch Chorzow,Rakow,A
2023/2024,24/09/2023,16:30,Legia,Gornik Zabrze,H
2023/2024,27/09/2023,19:00,Pogon Szczecin,Legia,A
2023/2024,28/09/2023,19:00,Lech Poznan,Rakow,H
2023/2024,29/09/2023,17:00,Stal Mielec,Korona Kielce,A
2023/2024,29/09/2023,19:30,Piast Gliwice,Widzew Lodz,H
2023/2024,30/09/2023,14:00,LKS Lodz,Cracovia,A
2023/2024,30/09/2023,16:30,Puszcza,Ruch Chorzow,D
2023/2024,30/09/2023,19:00,Warta Poznan,Slask Wroclaw,A
2023/2024,01/10/2023,14:00,Rakow,Radomiak Radom,H
2023/2024,01/10/2023,16:30,Pogon Szczecin,Lech Poznan,H
2023/2024,01/10/2023,19:00,Jagiellonia,Legia,H
2023/2024,02/10/2023,18:00,Gornik Zabrze,Zaglebie,A
2023/2024,06/10/2023,17:00,Korona Kielce,Warta Poznan,D
2023/2024,06/10/2023,19:40,Lech Poznan,Puszcza,H
2023/2024,07/10/2023,11:30,Radomiak Radom,LKS Lodz,H
2023/2024,07/10/2023,14:00,Widzew Lodz,Stal Mielec,H
2023/2024,07/10/2023,16:30,Zaglebie,Piast Gliwice,D
2023/2024,07/10/2023,19:00,Ruch Chorzow,Pogon Szczecin,A
2023/2024,08/10/2023,11:30,Slask Wroclaw,Gornik Zabrze,D
2023/2024,08/10/2023,14:00,Cracovia,Jagiellonia,A
2023/2024,08/10/2023,16:30,Legia,Rakow,A
2023/2024,20/10/2023,17:00,Piast Gliwice,Pogon Szczecin,D
2023/2024,20/10/2023,19:30,Jagiellonia,Zaglebie,H
2023/2024,21/10/2023,14:00,Puszcza,Cracovia,D
2023/2024,21/10/2023,16:30,Slask Wroclaw,Legia,H
2023/2024,21/10/2023,19:00,Lech Poznan,LKS Lodz,H
2023/2024,22/10/2023,11:30,Radomiak Radom,Korona Kielce,D
2023/2024,22/10/2023,16:30,Gornik Zabrze,Rakow,H
2023/2024,23/10/2023,18:00,Stal Mielec,Warta Poznan,A
2023/2024,24/10/2023,17:00,Lech Poznan,Jagiellonia,D
2023/2024,27/10/2023,17:00,Korona Kielce,Puszcza,H
2023/2024,27/10/2023,19:30,LKS Lodz,Gornik Zabrze,A
2023/2024,28/10/2023,11:30,Warta Poznan,Piast Gliwice,D
2023/2024,28/10/2023,14:00,Pogon Szczecin,Jagiellonia,H
2023/2024,28/10/2023,16:30,Cracovia,Lech Poznan,D
2023/2024,28/10/2023,19:00,Ruch Chorzow,Slask Wroclaw,D
2023/2024,29/10/2023,11:30,Zaglebie,Radomiak Radom,A
2023/2024,29/10/2023,14:00,Legia,Stal Mielec,A
2023/2024,29/10/2023,16:30,Rakow,Widzew Lodz,D
2023/2024,03/11/2023,17:00,Piast Gliwice,Korona Kielce,D
2023/2024,03/11/2023,19:30,Jagiellonia,Stal Mielec,H
2023/2024,04/11/2023,14:00,Puszcza,Pogon Szczecin,A
2023/2024,04/11/2023,16:30,Widzew Lodz,Warta Poznan,A
2023/2024,04/11/2023,19:00,Lech Poznan,Ruch Chorzow,H
2023/2024,05/11/2023,11:30,Slask Wroclaw,LKS Lodz,H
2023/2024,05/11/2023,14:00,Rakow,Zaglebie,H
2023/2024,05/11/2023,16:30,Radomiak Radom,Legia,A
2023/2024,06/11/2023,18:00,Gornik Zabrze,Cracovia,H
2023/2024,10/11/2023,17:00,Warta Poznan,Puszcza,A
2023/2024,10/11/2023,19:30,Cracovia,Slask Wroclaw,A
2023/2024,11/11/2023,14:00,LKS Lodz,Piast Gliwice,D
2023/2024,11/11/2023,16:30,Zaglebie,Widzew Lodz,D
2023/2024,11/11/2023,19:00,Korona Kielce,Jagiellonia,D
2023/2024,12/11/2023,11:30,Stal Mielec,Gornik Zabrze,H
2023/2024,12/11/2023,14:00,Pogon Szczecin,Rakow,D
2023/2024,12/11/2023,16:30,Legia,Lech Poznan,D
2023/2024,13/11/2023,18:00,Ruch Chorzow,Radomiak Radom,D
2023/2024,18/11/2023,16:30,Widzew Lodz,Ruch Chorzow,H
2023/2024,24/11/2023,17:00,LKS Lodz,Zaglebie,A
2023/2024,24/11/2023,19:30,Jagiellonia,Piast Gliwice,D
2023/2024,25/11/2023,14:00,Rakow,Cracovia,D
2023/2024,25/11/2023,16:30,Pogon Szczecin,Stal Mielec,A
2023/2024,25/11/2023,19:00,Legia,Warta Poznan,D
2023/2024,26/11/2023,11:30,Puszcza,Gornik Zabrze,H
2023/2024,26/11/2023,14:00,Ruch Chorzow,Korona Kielce,D
2023/2024,26/11/2023,16:30,Lech Poznan,Widzew Lodz,A
2023/2024,27/11/2023,18:00,Radomiak Radom,Slask Wroclaw,A
2023/2024,01/12/2023,17:00,Warta Poznan,Jagiellonia,A
2023/2024,01/12/2023,19:30,Gornik Zabrze,Pogon Szczecin,H
2023/2024,02/12/2023,16:30,Widzew Lodz,Radomiak Radom,A
2023/2024,02/12/2023,19:00,Korona Kielce,Lech Poznan,A
2023/2024,03/12/2023,11:30,Cracovia,Ruch Chorzow,D
2023/2024,03/12/2023,14:00,Zaglebie,Legia,A
2023/2024,03/12/2023,16:30,Slask Wroclaw,Rakow,D
2023/2024,08/12/2023,17:00,Ruch Chorzow,Zaglebie,D
2023/2024,08/12/2023,19:30,Pogon Szczecin,Warta Poznan,D
2023/2024,09/12/2023,14:00,Radomiak Radom,Gornik Zabrze,D
2023/2024,09/12/2023,16:30,Cracovia,Stal Mielec,D
2023/2024,09/12/2023,19:00,Slask Wroclaw,Korona Kielce,D
2023/2024,10/12/2023,11:30,Lech Poznan,Piast Gliwice,A
2023/2024,10/12/2023,14:00,LKS Lodz,Legia,D
2023/2024,10/12/2023,16:30,Jagiellonia,Rakow,H
2023/2024,11/12/2023,18:00,Puszcza,Widzew Lodz,H
2023/2024,15/12/2023,17:00,Gornik Zabrze,Warta Poznan,H
2023/2024,15/12/2023,19:30,Zaglebie,Slask Wroclaw,A
2023/2024,16/12/2023,14:00,Puszcza,Jagiellonia,D
2023/2024,16/12/2023,16:30,Widzew Lodz,Pogon Szczecin,A
2023/2024,16/12/2023,19:00,Radomiak Radom,Lech Poznan,D
2023/2024,17/12/2023,11:30,LKS Lodz,Ruch Chorzow,D
2023/2024,17/12/2023,14:00,Rakow,Korona Kielce,H
2023/2024,17/12/2023,16:30,Legia,Cracovia,H
2023/2024,18/12/2023,18:00,Piast Gliwice,Stal Mielec,H
2023/2024,20/12/2023,18:00,Cracovia,Legia,H
2023/2024,09/02/2024,17:00,Stal Mielec,Puszcza,H
2023/2024,09/02/2024,19:30,Ruch Chorzow,Legia,A
2023/2024,10/02/2024,14:00,Cracovia,Radomiak Radom,H
2023/2024,10/02/2024,16:30,Piast Gliwice,Gornik Zabrze,A
2023/2024,10/02/2024,19:00,Lech Poznan,Zaglebie,H
2023/2024,11/02/2024,11:30,Warta Poznan,Rakow,H
2023/2024,11/02/2024,14:00,Widzew Lodz,Jagiellonia,A
2023/2024,11/02/2024,16:30,Slask Wroclaw,Pogon Szczecin,A
2023/2024,12/02/2024,18:00,Korona Kielce,LKS Lodz,H
2023/2024,16/02/2024,17:00,Radomiak Radom,Pogon Szczecin,A
2023/2024,16/02/2024,19:30,Slask Wroclaw,Stal Mielec,A
2023/2024,17/02/2024,14:00,Ruch Chorzow,Warta Poznan,D
2023/2024,17/02/2024,16:30,Jagiellonia,Lech Poznan,A
2023/2024,17/02/2024,19:00,Rakow,Piast Gliwice,H
2023/2024,18/02/2024,11:30,Zaglebie,Cracovia,D
2023/2024,18/02/2024,14:00,Legia,Puszcza,D
2023/2024,18/02/2024,16:30,LKS Lodz,Widzew Lodz,A
2023/2024,19/02/2024,18:00,Gornik Zabrze,Korona Kielce,H
2023/2024,23/02/2024,17:00,Piast Gliwice,Cracovia,D
2023/2024,23/02/2024,19:30,Pogon Szczecin,LKS Lodz,H
2023/2024,24/02/2024,14:00,Jagiellonia,Ruch Chorzow,D
2023/2024,24/02/2024,16:30,Lech Poznan,Slask Wroclaw,D
2023/2024,24/02/2024,19:00,Stal Mielec,Rakow,D
2023/2024,25/02/2024,11:30,Puszcza,Zaglebie,D
2023/2024,25/02/2024,14:00,Widzew Lodz,Gornik Zabrze,H
2023/2024,25/02/2024,16:30,Korona Kielce,Legia,D
2023/2024,26/02/2024,18:00,Warta Poznan,Radomiak Radom,D
2023/2024,28/02/2024,17:30,Stal Mielec,LKS Lodz,H
2023/2024,01/03/2024,17:00,Cracovia,Warta Poznan,A
2023/2024,01/03/2024,19:30,Ruch Chorzow,Piast Gliwice,H
2023/2024,02/03/2024,14:00,Gornik Zabrze,Jagiellonia,H
2023/2024,02/03/2024,16:30,Slask Wroclaw,Widzew Lodz,H
2023/2024,02/03/2024,19:00,Legia,Pogon Szczecin,D
2023/2024,03/03/2024,11:30,LKS Lodz,Puszcza,H
2023/2024,03/03/2024,14:00,Zaglebie,Korona Kielce,H
2023/2024,03/03/2024,16:30,Rakow,Lech Poznan,H
2023/2024,04/03/2024,18:00,Radomiak Radom,Stal Mielec,H
2023/2024,08/03/2024,17:00,Piast Gliwice,Radomiak Radom,A
2023/2024,08/03/2024,19:30,Jagiellonia,Slask Wroclaw,H
2023/2024,09/03/2024,14:00,Korona Kielce,Cracovia,D
2023/2024,09/03/2024,16:30,Puszcza,Rakow,D
2023/2024,09/03/2024,19:00,Gornik Zabrze,Lech Poznan,D
2023/2024,10/03/2024,11:30,Stal Mielec,Ruch Chorzow,H
2023/2024,10/03/2024,14:00,Pogon Szczecin,Zaglebie,A
2023/2024,10/03/2024,16:30,Widzew Lodz,Legia,H
2023/2024,11/03/2024,18:00,Warta Poznan,LKS Lodz,A
2023/2024,13/03/2024,17:30,Korona Kielce,Rakow,A
2023/2024,12/03/2024,17:30,Piast Gliwice,Puszcza,H
2023/2024,15/03/2024,17:00,Zaglebie,Stal Mielec,D
2023/2024,15/03/2024,19:30,Lech Poznan,Warta Poznan,H
2023/2024,16/03/2024,11:30,Cracovia,Widzew Lodz,D
2023/2024,16/03/2024,14:00,Radomiak Radom,Jagiellonia,A
2023/2024,16/03/2024,16:30,Ruch Chorzow,Gornik Zabrze,A
2023/2024,16/03/2024,19:00,Slask Wroclaw,Puszcza,D
2023/2024,17/03/2024,11:30,Korona Kielce,Pogon Szczecin,D
2023/2024,17/03/2024,14:00,LKS Lodz,Rakow,D
2023/2024,17/03/2024,16:30,Legia,Piast Gliwice,H
2023/2024,30/03/2024,11:30,Rakow,Ruch Chorzow,D
2023/2024,30/03/2024,14:00,Jagiellonia,LKS Lodz,H
2023/2024,30/03/2024,16:30,Piast Gliwice,Slask Wroclaw,D
2023/2024,30/03/2024,19:00,Pogon Szczecin,Cracovia,H
2023/2024,01/04/2024,11:30,Puszcza,Radomiak Radom,D
2023/2024,01/04/2024,14:00,Stal Mielec,Lech Poznan,D
2023/2024,01/04/2024,16:30,Widzew Lodz,Korona Kielce,H
2023/2024,01/04/2024,19:00,Gornik Zabrze,Legia,A
2023/2024,02/04/2024,18:00,Warta Poznan,Zaglebie,D
2023/2024,05/04/2024,17:00,Cracovia,LKS Lodz,D
2023/2024,05/04/2024,19:30,Radomiak Radom,Rakow,H
2023/2024,06/04/2024,14:00,Korona Kielce,Stal Mielec,H
2023/2024,06/04/2024,16:30,Ruch Chorzow,Puszcza,D
2023/2024,06/04/2024,19:00,Slask Wroclaw,Warta Poznan,H
2023/2024,07/04/2024,11:30,Widzew Lodz,Piast Gliwice,H
2023/2024,07/04/2024,14:00,Lech Poznan,Pogon Szczecin,H
2023/2024,07/04/2024,16:30,Legia,Jagiellonia,D
2023/2024,08/04/2024,18:00,Zaglebie,Gornik Zabrze,A
2023/2024,12/04/2024,17:00,Warta Poznan,Korona Kielce,H
2023/2024,12/04/2024,19:30,Pogon Szczecin,Ruch Chorzow,H
2023/2024,13/04/2024,14:00,Stal Mielec,Widzew Lodz,D
2023/2024,13/04/2024,16:30,Puszcza,Lech Poznan,H
2023/2024,13/04/2024,19:00,Rakow,Legia,D
2023/2024,14/04/2024,11:30,LKS Lodz,Radomiak Radom,H
2023/2024,14/04/2024,14:00,Jagiellonia,Cracovia,A
2023/2024,14/04/2024,16:30,Gornik Zabrze,Slask Wroclaw,H
2023/2024,15/04/2024,18:00,Piast Gliwice,Zaglebie,H
2023/2024,19/04/2024,17:00,Korona Kielce,Radomiak Radom,H
2023/2024,19/04/2024,19:30,Rakow,Gornik Zabrze,A
2023/2024,20/04/2024,14:00,Pogon Szczecin,Piast Gliwice,A
2023/2024,20/04/2024,16:30,Ruch Chorzow,Widzew Lodz,A
2023/2024,20/04/2024,19:00,Zaglebie,Jagiellonia,A
2023/2024,21/04/2024,11:30,Cracovia,Puszcza,A
2023/2024,21/04/2024,14:00,LKS Lodz,Lech Poznan,A
2023/2024,21/04/2024,16:30,Legia,Slask Wroclaw,D
2023/2024,22/04/2024,18:00,Warta Poznan,Stal Mielec,H
2023/2024,26/04/2024,17:00,Piast Gliwice,Warta Poznan,H
2023/2024,26/04/2024,19:30,Jagiellonia,Pogon Szczecin,D
2023/2024,27/04/2024,14:00,Gornik Zabrze,LKS Lodz,H
2023/2024,27/04/2024,16:30,Slask Wroclaw,Ruch Chorzow,A
2023/2024,27/04/2024,19:00,Widzew Lodz,Rakow,A
2023/2024,28/04/2024,11:30,Radomiak Radom,Zaglebie,A
2023/2024,28/04/2024,14:00,Stal Mielec,Legia,A
2023/2024,28/04/2024,16:30,Lech Poznan,Cracovia,D
2023/2024,29/04/2024,18:00,Puszcza,Korona Kielce,D
2023/2024,03/05/2024,17:00,Cracovia,Gornik Zabrze,H
2023/2024,03/05/2024,19:30,Ruch Chorzow,Lech Poznan,H
2023/2024,04/05/2024,14:00,LKS Lodz,Slask Wroclaw,A
2023/2024,04/05/2024,16:30,Zaglebie,Rakow,H
2023/2024,04/05/2024,19:00,Stal Mielec,Jagiellonia,H
2023/2024,05/05/2024,11:30,Warta Poznan,Widzew Lodz,H
2023/2024,05/05/2024,14:00,Korona Kielce,Piast Gliwice,D
2023/2024,05/05/2024,16:30,Legia,Radomiak Radom,A
2023/2024,06/05/2024,18:00,Pogon Szczecin,Puszcza,H
2023/2024,10/05/2024,17:00,Piast Gliwice,LKS Lodz,H
2023/2024,10/05/2024,19:30,Slask Wroclaw,Cracovia,H
2023/2024,11/05/2024,14:00,Gornik Zabrze,Stal Mielec,D
2023/2024,11/05/2024,16:30,Jagiellonia,Korona Kielce,H
2023/2024,11/05/2024,19:00,Rakow,Pogon Szczecin,H
2023/2024,12/05/2024,11:30,Puszcza,Warta Poznan,H
2023/2024,12/05/2024,14:00,Widzew Lodz,Zaglebie,A
2023/2024,12/05/2024,16:30,Lech Poznan,Legia,A
2023/2024,13/05/2024,18:00,Radomiak Radom,Ruch Chorzow,A
2023/2024,17/05/2024,17:00,Stal Mielec,Pogon Szczecin,D
2023/2024,17/05/2024,19:30,Gornik Zabrze,Puszcza,D
2023/2024,18/05/2024,14:00,Korona Kielce,Ruch Chorzow,H
2023/2024,18/05/2024,16:30,Slask Wroclaw,Radomiak Radom,H
2023/2024,18/05/2024,19:00,Piast Gliwice,Jagiellonia,D
2023/2024,19/05/2024,11:30,Cracovia,Rakow,H
2023/2024,19/05/2024,14:00,Warta Poznan,Legia,A
2023/2024,19/05/2024,16:30,Widzew Lodz,Lech Poznan,D
2023/2024,20/05/2024,18:00,Zaglebie,LKS Lodz,H
2023/2024,25/05/2024,16:30,Jagiellonia,Warta Poznan,H
2023/2024,25/05/2024,16:30,Lech Poznan,Korona Kielce,A
2023/2024,25/05/2024,16:30,Legia,Zaglebie,H
2023/2024,25/05/2024,16:30,LKS Lodz,Stal Mielec,H
2023/2024,25/05/2024,16:30,Pogon Szczecin,Gornik Zabrze,H
2023/2024,25/05/2024,16:30,Puszcza,Piast Gliwice,H
2023/2024,25/05/2024,16:30,Radomiak Radom,Widzew Lodz,A
2023/2024,25/05/2024,16:30,Rakow,Slask Wroclaw,A
2023/2024,25/05/2024,16:30,Ruch Chorzow,Cracovia,H
2024/2025,19/07/2024,17:00,Jagiellonia,Puszcza,H
2024/2025,19/07/2024,19:30,Slask Wroclaw,Lechia Gdansk,D
2024/2025,20/07/2024,13:45,GKS Katowice,Radomiak Radom,A
2024/2025,20/07/2024,16:30,Pogon Szczecin,Korona Kielce,H
2024/2025,20/07/2024,19:15,Legia,Zaglebie,H
2024/2025,21/07/2024,13:45,Cracovia,Piast Gliwice,D
2024/2025,21/07/2024,16:30,Lech Poznan,Gornik Zabrze,H
2024/2025,21/07/2024,19:15,Motor Lublin,Rakow,A
2024/2025,22/07/2024,18:00,Stal Mielec,Widzew Lodz,D
2024/2025,26/07/2024,17:00,Puszcza,Gornik Zabrze,D
2024/2025,26/07/2024,19:30,Lechia Gdansk,Motor Lublin,A
2024/2025,27/07/2024,13:45,Stal Mielec,GKS Katowice,A
2024/2025,27/07/2024,16:30,Radomiak Radom,Jagiellonia,A
2024/2025,27/07/2024,19:15,Widzew Lodz,Lech Poznan,H
2024/2025,28/07/2024,13:45,Zaglebie,Pogon Szczecin,D
2024/2025,28/07/2024,16:30,Piast Gliwice,Slask Wroclaw,H
2024/2025,28/07/2024,19:15,Korona Kielce,Legia,A
2024/2025,29/07/2024,18:00,Rakow,Cracovia,A
2024/2025,02/08/2024,17:00,Zaglebie,Puszcza,H
2024/2025,02/08/2024,19:30,Gornik Zabrze,Pogon Szczecin,H
2024/2025,03/08/2024,13:45,GKS Katowice,Rakow,A
2024/2025,03/08/2024,16:30,Jagiellonia,Stal Mielec,H
2024/2025,03/08/2024,19:15,Lech Poznan,Lechia Gdansk,H
2024/2025,04/08/2024,13:45,Motor Lublin,Korona Kielce,D
2024/2025,04/08/2024,19:15,Legia,Piast Gliwice,A
2024/2025,05/08/2024,18:00,Cracovia,Widzew Lodz,A
2024/2025,09/08/2024,17:00,Radomiak Radom,Gornik Zabrze,A
2024/2025,09/08/2024,19:30,Rakow,Lech Poznan,D
2024/2025,10/08/2024,16:30,Korona Kielce,Cracovia,A
2024/2025,10/08/2024,19:15,Pogon Szczecin,Stal Mielec,H
2024/2025,11/08/2024,13:45,Lechia Gdansk,Zaglebie,D
2024/2025,11/08/2024,16:30,Puszcza,Legia,D
2024/2025,11/08/2024,19:15,Widzew Lodz,Slask Wroclaw,D
2024/2025,12/08/2024,18:00,Piast Gliwice,GKS Katowice,D
2024/2025,16/08/2024,17:00,Puszcza,Lechia Gdansk,H
2024/2025,16/08/2024,19:30,GKS Katowice,Motor Lublin,D
2024/2025,17/08/2024,13:45,Jagiellonia,Cracovia,A
2024/2025,17/08/2024,16:30,Zaglebie,Lech Poznan,A
2024/2025,17/08/2024,19:15,Pogon Szczecin,Widzew Lodz,H
2024/2025,18/08/2024,13:45,Slask Wroclaw,Korona Kielce,D
2024/2025,18/08/2024,16:30,Legia,Radomiak Radom,H
2024/2025,18/08/2024,19:15,Gornik Zabrze,Rakow,D
2024/2025,19/08/2024,18:00,Stal Mielec,Piast Gliwice,H
2024/2025,23/08/2024,17:00,Widzew Lodz,Radomiak Radom,H
2024/2025,23/08/2024,19:30,Lechia Gdansk,Rakow,A
2024/2025,24/08/2024,13:45,Motor Lublin,Puszcza,D
2024/2025,24/08/2024,16:30,Cracovia,Gornik Zabrze,H
2024/2025,24/08/2024,19:15,Piast Gliwice,Zaglebie,H
2024/2025,25/08/2024,13:45,GKS Katowice,Jagiellonia,H
2024/2025,25/08/2024,16:30,Lech Poznan,Pogon Szczecin,H
2024/2025,25/08/2024,19:15,Slask Wroclaw,Legia,D
2024/2025,26/08/2024,18:00,Korona Kielce,Stal Mielec,H
2024/2025,30/08/2024,17:00,Rakow,Piast Gliwice,A
2024/2025,30/08/2024,19:30,Stal Mielec,Lech Poznan,A
2024/2025,31/08/2024,13:45,Puszcza,Korona Kielce,D
2024/2025,31/08/2024,16:30,Zaglebie,GKS Katowice,H
2024/2025,31/08/2024,19:15,Radomiak Radom,Cracovia,H
2024/2025,01/09/2024,11:15,Gornik Zabrze,Lechia Gdansk,A
2024/2025,01/09/2024,13:45,Legia,Motor Lublin,H
2024/2025,01/09/2024,16:30,Pogon Szczecin,Slask Wroclaw,H
2024/2025,01/09/2024,19:15,Jagiellonia,Widzew Lodz,H
2024/2025,13/09/2024,17:00,Motor Lublin,Gornik Zabrze,H
2024/2025,13/09/2024,19:30,GKS Katowice,Widzew Lodz,D
2024/2025,14/09/2024,13:45,Lechia Gdansk,Radomiak Radom,H
2024/2025,14/09/2024,16:30,Cracovia,Pogon Szczecin,H
2024/2025,14/09/2024,19:15,Lech Poznan,Jagiellonia,H
2024/2025,15/09/2024,11:15,Piast Gliwice,Puszcza,D
2024/2025,15/09/2024,13:45,Korona Kielce,Zaglebie,H
2024/2025,15/09/2024,16:30,Legia,Rakow,A
2024/2025,20/09/2024,17:00,Radomiak Radom,Korona Kielce,H
2024/2025,20/09/2024,19:30,Pogon Szczecin,Legia,H
2024/2025,21/09/2024,11:15,Puszcza,Cracovia,A
2024/2025,21/09/2024,13:45,Jagiellonia,Lechia Gdansk,H
2024/2025,21/09/2024,16:30,Widzew Lodz,Piast Gliwice,H
2024/2025,21/09/2024,19:15,Gornik Zabrze,GKS Katowice,H
2024/2025,22/09/2024,11:15,Stal Mielec,Motor Lublin,H
2024/2025,22/09/2024,13:45,Rakow,Zaglebie,H
2024/2025,22/09/2024,16:30,Lech Poznan,Slask Wroclaw,H
2024/2025,25/09/2024,18:00,Motor Lublin,Jagiellonia,A
2024/2025,27/09/2024,17:00,GKS Katowice,Pogon Szczecin,H
2024/2025,27/09/2024,19:30,Lechia Gdansk,Widzew Lodz,D
2024/2025,28/09/2024,13:45,Rakow,Puszcza,H
2024/2025,28/09/2024,16:30,Motor Lublin,Slask Wroclaw,H
2024/2025,28/09/2024,19:15,Legia,Gornik Zabrze,D
2024/2025,29/09/2024,11:15,Zaglebie,Radomiak Radom,H
2024/2025,29/09/2024,13:45,Korona Kielce,Lech Poznan,A
2024/2025,29/09/2024,16:30,Piast Gliwice,Jagiellonia,A
2024/2025,30/09/2024,18:00,Cracovia,Stal Mielec,D
2024/2025,04/10/2024,17:00,Puszcza,GKS Katowice,A
2024/2025,04/10/2024,19:30,Widzew Lodz,Korona Kielce,A
2024/2025,05/10/2024,11:15,Stal Mielec,Lechia Gdansk,H
2024/2025,05/10/2024,13:45,Radomiak Radom,Rakow,A
2024/2025,05/10/2024,16:30,Gornik Zabrze,Zaglebie,A
2024/2025,05/10/2024,19:15,Lech Poznan,Motor Lublin,A
2024/2025,06/10/2024,13:45,Slask Wroclaw,Cracovia,A
2024/2025,06/10/2024,16:30,Pogon Szczecin,Piast Gliwice,H
2024/2025,06/10/2024,19:15,Jagiellonia,Legia,D
2024/2025,18/10/2024,17:00,Korona Kielce,Piast Gliwice,A
2024/2025,18/10/2024,19:30,Lechia Gdansk,Legia,A
2024/2025,19/10/2024,13:45,Motor Lublin,Widzew Lodz,A
2024/2025,19/10/2024,16:30,Zaglebie,Jagiellonia,A
2024/2025,19/10/2024,19:15,Cracovia,Lech Poznan,A
2024/2025,20/10/2024,11:15,GKS Katowice,Slask Wroclaw,D
2024/2025,20/10/2024,13:45,Gornik Zabrze,Stal Mielec,H
2024/2025,20/10/2024,16:30,Rakow,Pogon Szczecin,H
2024/2025,21/10/2024,18:00,Radomiak Radom,Puszcza,H
2024/2025,23/10/2024,17:30,Slask Wroclaw,Stal Mielec,H
2024/2025,25/10/2024,17:00,Piast Gliwice,Lechia Gdansk,D
2024/2025,25/10/2024,19:30,Pogon Szczecin,Puszcza,H
2024/2025,26/10/2024,13:45,Cracovia,Motor Lublin,H
2024/2025,26/10/2024,16:30,Slask Wroclaw,Rakow,D
2024/2025,26/10/2024,19:15,Lech Poznan,Radomiak Radom,H
2024/2025,27/10/2024,11:15,Stal Mielec,Zaglebie,D
2024/2025,27/10/2024,13:45,Jagiellonia,Korona Kielce,H
2024/2025,27/10/2024,16:30,Widzew Lodz,Gornik Zabrze,A
2024/2025,27/10/2024,19:15,Legia,GKS Katowice,H
2024/2025,02/11/2024,13:45,Rakow,Stal Mielec,H
2024/2025,02/11/2024,16:30,Motor Lublin,Pogon Szczecin,H
2024/2025,02/11/2024,19:15,Puszcza,Lech Poznan,H
2024/2025,03/11/2024,11:15,Radomiak Radom,Piast Gliwice,D
2024/2025,03/11/2024,13:45,Gornik Zabrze,Jagiellonia,A
2024/2025,03/11/2024,16:30,Lechia Gdansk,Cracovia,A
2024/2025,03/11/2024,19:15,Legia,Widzew Lodz,H
2024/2025,04/11/2024,17:00,GKS Katowice,Korona Kielce,A
2024/2025,04/11/2024,19:30,Zaglebie,Slask Wroclaw,H
2024/2025,08/11/2024,17:00,Piast Gliwice,Motor Lublin,A
2024/2025,08/11/2024,19:30,Pogon Szczecin,Radomiak Radom,A
2024/2025,09/11/2024,11:15,Korona Kielce,Lechia Gdansk,D
2024/2025,09/11/2024,13:45,Cracovia,GKS Katowice,A
2024/2025,09/11/2024,16:30,Widzew Lodz,Zaglebie,H
2024/2025,09/11/2024,19:15,Slask Wroclaw,Gornik Zabrze,A
2024/2025,10/11/2024,11:15,Stal Mielec,Puszcza,H
2024/2025,10/11/2024,13:45,Jagiellonia,Rakow,D
2024/2025,10/11/2024,16:30,Lech Poznan,Legia,H
2024/2025,22/11/2024,17:00,Zaglebie,Motor Lublin,A
2024/2025,22/11/2024,19:30,Jagiellonia,Slask Wroclaw,D
2024/2025,23/11/2024,13:45,Lechia Gdansk,Pogon Szczecin,A
2024/2025,23/11/2024,16:30,Lech Poznan,GKS Katowice,H
2024/2025,23/11/2024,19:15,Legia,Cracovia,H
2024/2025,24/11/2024,11:15,Radomiak Radom,Stal Mielec,A
2024/2025,24/11/2024,13:45,Rakow,Korona Kielce,D
2024/2025,24/11/2024,16:30,Gornik Zabrze,Piast Gliwice,H
2024/2025,25/11/2024,18:00,Puszcza,Widzew Lodz,H
2024/2025,29/11/2024,17:00,Cracovia,Zaglebie,D
